IPO 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,8,nCino,NCNO,14/07/2020,7.6,"$31,00","$91,59","$81,86","164,06%","8,50%",93,,"$85,73","176,55%"
,9,GoHealth,GOCO,15/07/2020,39.5,"$21,00","$19,46","$11,33","-46,05%","67,50%",93,,"$12,25","-41,67%"
,10,Relay Therapeutics,RLAY,16/07/2020,14.7,"$20,00","$35,05","$38,28","91,40%","31,00%",93,,"$50,92","154,60%"
,11,Berkeley Lights,BLI,17/07/2020,7.4,"$22,00","$65,45","$77,14","250,64%","12,50%",93,,"$87,62","298,27%"
,12,Pandion Therapeutics Hodfco,PAND,17/07/2020,5.5,"$18,00","$18,10","$11,04","-38,67%","72,00%",93,,"$16,11","-10,50%"
,13,Jamf Holding,JAMF,22/07/2020,18,"$26,00","$39,20","$32,72","25,85%",15.5%,93,,"$31,48","21,08%"
,14,Montrose Environmental Group,MEG,23/07/2020,10,"$15,00","$22,39","$25,51","70,07%","56,00%",93,,"$28,79","91,93%"
,15,Annexon,ANNX,24/07/2020,10,"$17,00","$22,00","$23,14","37,87%","76,00%",93,,"$24,22","42,47%"
,16,iTeos Therapeutics,ITOS,24/07/2020,8.8,"$19,00","$19,05","$23,46","23,47%","81,00%",93,,"$30,20","58,95%"
,17,Vertex,VERX,29/07/2020,21.2,"$19,00","$19,00","$24,65","29,74%","35,50%",93,,"$25,42","33,79%"
,18,AlloVir,ALVR,30/07/2020,14.8,"$17,00","$25,39","$26,43","55,47%",-,93,,"$38,61","127,12%"
,19,Vital Farms,VITL,31/07/2020,7.8,"$22,00","$35,26","$34,56","57,00%","12,00%",93,,"$25,65","16,59%"
,20,BigCommerce Holdings,BIGC,05/08/2020,6.9,"$24,00","$72,27","$79,50","231,25%","8,00%",93,,"$78,56","227,33%"
,21,Rocket Companies,RKT,06/08/2020,150,"$18,00","$21,51","$21,31","18,39%","47,00%",93,,"$21,06","17,00%"
,22,OAK Street Health,OSH,06/08/2020,15.6,"$21,00","$40,00","$52,04","147,81%","19,00%",93,,"$54,00","157,14%"
,23,IBEX Ltd.,IBEX,07/08/2020,4.8,"$19,00","$15,40","$15,40","-20,32%","92,00%",93,,"$20,22","6,42%"
,24,Freeline Therapeutics Holdings plc,FRLN,07/08/2020,8.8,"$18,00","$18,00","$17,26","-4,11%","88,00%",93,,"$16,96","-5,78%"
